2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] PROVIDE	transport.Transport[group = "transport"] <= fx.Annotate(github.com/libp2p/go-libp2p/p2p/transport/webrtc.New(), fx.ResultTags(["group:\"transport\""]), fx.As([[transport.Transport]])
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] SUPPLY	protocol.ID
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] PROVIDE	sec.SecureTransport[group = "security_unordered"] <= fx.Annotate(github.com/libp2p/go-libp2p/p2p/security/noise.New(), fx.ParamTags(["name:\"security_/noise\""]), fx.ResultTags(["group:\"security_unordered\""]), fx.As([[sec.SecureTransport]])
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] SUPPLY	protocol.ID
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] PROVIDE	sec.SecureTransport[group = "security_unordered"] <= fx.Annotate(github.com/libp2p/go-libp2p/p2p/security/tls.New(), fx.ParamTags(["name:\"security_/tls/1.0.0\""]), fx.ResultTags(["group:\"security_unordered\""]), fx.As([[sec.SecureTransport]])
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] PROVIDE	[]sec.SecureTransport[name = "security"] <= fx.Annotate(github.com/libp2p/go-libp2p/config.(*Config).addTransports.func8(), fx.ParamTags(["group:\"security_unordered\""]), fx.ResultTags(["name:\"security\""])
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] PROVIDE	quic.StatelessResetKey <= github.com/libp2p/go-libp2p/config.PrivKeyToStatelessResetKey()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] PROVIDE	handshake.TokenProtectorKey <= github.com/libp2p/go-libp2p/config.PrivKeyToTokenGeneratorKey()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] PROVIDE	*quicreuse.ConnManager <= github.com/libp2p/go-libp2p/config.(*Config).addTransports.func9()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] DECORATE	*swarm.Swarm <= github.com/libp2p/go-libp2p/config.(*Config).NewNode.func3()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] LOGGER	Initialized custom logger from github.com/libp2p/go-libp2p/config.(*Config).addTransports.func1()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] INVOKE		fx.Annotate(github.com/libp2p/go-libp2p/config.(*Config).addTransports.func10(), fx.ParamTags(["" "group:\"transport\""])
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: github.com/libp2p/go-libp2p/config.(*Config).NewNode.func1()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: go.uber.org/fx.New.func1()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: github.com/libp2p/go-libp2p/config.(*Config).NewNode.func2()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: github.com/libp2p/go-libp2p/config.(*Config).NewNode.func6()
2024-08-21T16:10:11.339+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: github.com/libp2p/go-libp2p/config.PrivKeyToStatelessResetKey()
2024-08-21T16:10:11.340+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: github.com/libp2p/go-libp2p/config.PrivKeyToTokenGeneratorKey()
2024-08-21T16:10:11.340+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: github.com/libp2p/go-libp2p/config.(*Config).addTransports.func9()
2024-08-21T16:10:11.340+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	decorate: github.com/libp2p/go-libp2p/config.(*Config).NewNode.func3()
2024-08-21T16:10:11.340+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	supply: stub(protocol.ID)
2024-08-21T16:10:11.340+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	supply: stub([]upgrader.StreamMuxer)
2024-08-21T16:10:11.340+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	provide: fx.Annotate(github.com/libp2p/go-libp2p/p2p/security/noise.New(), fx.ParamTags(["name:\"security_/noise\""]), fx.ResultTags(["group:\"security_unordered\""]), fx.As([[sec.SecureTransport]])
2024-08-21T16:10:11.340+0800	DEBUG	p2p-config	config/log.go:21	[Fx] RUN	supply: stub(protocol.ID)
